frame,rvec_x,rvec_y,rvec_z,tvec_x,tvec_y,tvec_z
cal_image_1.png,-0.15062981636958953,0.0065815337662251125,-0.12068830567726865,-0.2586315381142842,-0.06432478223303494,1.0197642369047022
cal_image_2.png,-0.3108421237793449,0.09597934613061421,-0.1084841248191841,-0.22861162890412634,0.06494668143564171,0.8129981144149129
cal_image_3.png,-0.0694422256765838,-0.29838758642262936,-0.18337898602075867,-0.23769188002933733,-0.12002782455684245,0.7404656174312956
cal_image_4.png,-0.12816548825074944,-0.17694725637843187,-0.14408719143773646,-0.23901129042220928,-0.05794634543504156,0.7912541549663613
cal_image_5.png,-0.13617453927126422,0.11617743388977458,-0.11711004032295885,-0.23063872192196752,-0.059296931173813856,0.8329471546141339
cal_image_6.png,-0.1582500435777879,0.36167260198720425,-0.0372876125041624,-0.3206672083806987,-0.09102269509867227,1.0018009806753347
cal_image_7.png,-0.10967289271966094,0.0575497266171206,-0.10733686067308455,-0.175565813479804,-0.09330258100416441,0.9972931322081484
cal_image_8.png,-0.2860581056654211,-0.0879891096454468,-0.12414993759348876,-0.23142709474721898,0.060370054898759185,0.8660461823761539
cal_image_9.png,-0.14907324514461007,0.0710425236475553,-0.10199750052842735,-0.16527162306482043,-0.041341791318818516,0.795654798402565
cal_image_10.png,-0.2578001763201021,0.5447753828735187,-0.05979675502546246,-0.17052977465138175,0.029021819844273957,0.8956867356683733
cal_image_11.png,-0.2628400131106214,-0.019812232063459556,-0.11155690289131892,-0.264529912571747,0.03475614548913977,0.808755811322434
cal_image_12.png,-0.1495789223684088,-0.10760369497309909,-0.12164722905919119,-0.2804605352623704,-0.06808969319485274,1.0346136732638203
cal_image_13.png,-0.25118936994036345,0.14478476067060742,-0.08871032442006871,-0.19300281944869171,0.02917984245304032,0.861782833264685
cal_image_14.png,-0.14514039276216775,0.05121157190419816,-0.1077527603577134,-0.19975622830428935,-0.05080875076340535,0.7874025246077212
cal_image_15.png,-0.2618460357030177,0.3978625026761401,-0.06117261491319324,-0.2602398768759833,0.025145877293491853,0.8908902047135169
cal_image_16.png,-0.15529236524703266,0.23249950359695298,-0.08940358007666205,-0.14261216446625763,-0.05271528959320958,0.8772815947396487
cal_image_17.png,-0.25009761854119283,-0.15447913189886867,-0.13790181658888695,-0.22499466937194487,0.03587398466445355,0.7634399229658304
cal_image_18.png,-0.20584812124871307,-0.14056439682570576,-0.135785254184794,-0.1932619862211207,0.0128788155348493,0.9712665631860735
cal_image_19.png,-0.16141251490445332,0.21749776611430652,-0.09723171282153265,-0.24824392334822518,-0.058567212129340074,0.9464375961523213
cal_image_20.png,-0.2653396403628449,0.3087249963434652,-0.06622187501778332,-0.15315255523745086,0.02703406812768765,1.0517314435811655
cal_image_21.png,-0.1418859450080103,0.23420504713865545,-0.07825165932579749,-0.18442043882316778,-0.08824115704746359,1.0067536674689546
cal_image_22.png,-0.24381466865255783,0.24482254807760861,-0.07341594756483648,-0.2954268413774296,0.008072004590291724,0.9219175247709049
cal_image_23.png,-0.24223634709043518,-0.003912102450255913,-0.12533559137270825,-0.2876047910028124,0.025453214575998216,1.072857095855442
cal_image_24.png,-0.21328604657285555,-0.2067322190343558,-0.14525249058338613,-0.22210441308223147,0.010469024144681644,0.7681071835176513
cal_image_25.png,-0.2601111360843234,-0.07880784547560825,-0.12634087790889975,-0.25634944818728556,0.043404355787497524,1.019487107807211
cal_image_26.png,-0.16097335897823906,-0.23189794567001742,-0.13901038960399614,-0.19900974378832373,-0.034158148240176954,0.8358148399316425
cal_image_27.png,-0.16121183766895436,-0.23336847110765696,-0.139322622155565,-0.20034504942849393,-0.03424530100647843,0.8354915995812946
cal_image_28.png,-0.22244023135464072,-0.00821379847353276,-0.09314974125788923,-0.2662699877822232,-0.00325147836273311,0.9644545934714823
cal_image_29.png,-0.19332057720455878,0.15000893510410188,-0.08681676593768901,-0.2301765897441205,-0.030218373166971048,0.9268962887933702
cal_image_30.png,-0.20011595802745885,0.20003419990754823,-0.0898464673627811,-0.23276952459135544,-0.019366079263807703,0.8927884939536647
